fips,year,month,prism_prcp_mm,prism_tmax_c,prism_tmin_c,vpd_proxy,heat_days_35c
27103,2021,1,18.541999999999998,-2.1111111111111116,-10.055555555555555,0.09150000000000001,2.6214758699800813e-07
27103,2021,2,12.7,-8.222222222222221,-16.666666666666668,0.08299999999999999,1.2346246713993086e-08
27103,2021,3,76.708,8.666666666666666,-1.7777777777777775,0.316,5.7399716232811406e-05
27103,2021,4,38.608,13.055555555555555,1.3333333333333326,0.5505,0.000515155370477052
27103,2021,5,91.948,19.944444444444446,8.055555555555555,0.8250000000000001,0.016129293570319576
27103,2021,6,64.77,29.833333333333332,16.11111111111111,1.621,2.106563754916583
27103,2021,7,97.53599999999999,28.166666666666668,16.444444444444443,1.0105000000000002,0.9533589287769074
27103,2021,8,140.20799999999997,27.333333333333332,15.277777777777779,0.9525000000000001,0.6353733136520305
27103,2021,9,63.246,24.777777777777775,10.666666666666668,0.9925,0.17979733027446848
27103,2021,10,114.80799999999998,17.944444444444443,6.7777777777777795,0.58,0.005935652768006502
27103,2021,11,20.066,7.444444444444445,-2.8888888888888884,0.33499999999999996,3.115357866029818e-05
27103,2021,12,40.386,-0.055555555555556344,-9.722222222222221,0.13349999999999998,7.326626883804355e-07
27103,2022,1,25.654,-6.777777777777778,-19.88888888888889,0.08199999999999999,2.54209675826962e-08
27103,2022,2,10.16,-4.722222222222222,-17.333333333333332,0.10450000000000001,7.104774423995127e-08
27103,2022,3,70.612,4.055555555555554,-5.111111111111111,0.233,5.72295640928834e-06
27103,2022,4,65.532,8.38888888888889,-0.8333333333333334,0.31100000000000005,4.995640468795949e-05
27103,2022,5,84.32799999999999,20.611111111111107,9.38888888888889,0.837,0.022505455642485024
27103,2022,6,22.605999999999998,27.444444444444446,15.666666666666666,1.322,0.6708590758063258
27103,2022,7,74.67599999999999,28.333333333333332,17.0,0.9904999999999999,1.0333558699863346
27103,2022,8,85.09,26.055555555555557,15.166666666666666,0.7605000000000001,0.33878756881222694
27103,2022,9,10.921999999999999,23.88888888888889,10.222222222222221,0.9065,0.11553097067790766
27103,2022,10,5.588,16.22222222222222,2.166666666666666,0.7005,0.002509240523069269
27103,2022,11,38.099999999999994,6.388888888888889,-3.944444444444445,0.2985,1.83779535844631e-05
27103,2022,12,40.386,-5.722222222222222,-13.5,0.06899999999999999,4.309263522510741e-08
27103,2023,1,51.815999999999995,-3.888888888888889,-12.5,0.052500000000000005,1.0777209549626268e-07
